ID,Node ID,Node Name
114129,672,Gintoki Sakata
114129,673,Shinpachi Shimura
114129,674,Kagura
114129,2948,Shinsuke Takasugi
114129,1533,Kotarou Katsura
114129,28144,Shouyou Yoshida
114129,2944,Tae Shimura
114129,2651,Sadaharu
114129,6615,Tama
114129,2282,Sougo Okita
114129,2650,Toushirou Hijikata
114129,2943,Isao Kondou
114129,5972,Katakuriko Matsudaira
114129,2945,Tatsuma Sakamoto
114129,6110,Kyuubei Yagyuu
114129,18823,Tsukuyo
114129,55577,Nobume Imai
114129,1759,Ayame Sarutobi
114129,2950,Zenzou Hattori
114129,3760,Taizou Hasegawa
114129,72323,Oboro
114129,124135,Utsuro
114129,7929,Prince Hata
114129,32207,Jii
114129,4653,Sagaru Yamazaki
114129,5970,Otose
114129,7930,Catherine
114129,7927,Gengai Hiraga
114129,32214,Soyo Tokugawa
114129,9876,Umibouzu
114129,9535,Henpeita Takechi
114129,2949,Matako Kijima
114129,12946,Kamui
114129,26731,Abuto
114129,2946,Elizabeth
114129,15452,Hideaki Sorachi
114129,123206,Shimaru Saitou
114129,8282,Ayumu Toujou
114129,15580,Binbokusai Yagyuu
114129,32275,Tokumori Saigou
114129,12161,Mutsu
114129,7928,Hedoro
114129,32739,Katsuo Kurogoma
114129,32838,Jirochou Doromizu
114129,41608,Pirako Doromizu
114129,18016,Tetsuko Murata
114129,9515,Ikumatsu Nishiki
114129,6187,Tsuu Terakado
114129,7157,Shigeshige Tokugawa
114129,55579,Isaburo Sasaki
114129,161215,Nobunobu Hitotsubashi
20996,672,Gintoki Sakata
20996,673,Shinpachi Shimura
20996,674,Kagura
20996,1533,Kotarou Katsura
20996,1759,Ayame Sarutobi
20996,2282,Sougo Okita
20996,2650,Toushirou Hijikata
20996,2651,Sadaharu
20996,2943,Isao Kondou
20996,2944,Tae Shimura
20996,2945,Tatsuma Sakamoto
20996,2946,Elizabeth
20996,2947,Bansai Kawakami
20996,2948,Shinsuke Takasugi
20996,2949,Matako Kijima
20996,2950,Zenzou Hattori
20996,3760,Taizou Hasegawa
20996,4653,Sagaru Yamazaki
20996,5970,Otose
20996,5972,Katakuriko Matsudaira
20996,6110,Kyuubei Yagyuu
20996,6615,Tama
20996,7157,Shigeshige Tokugawa
20996,7927,Gengai Hiraga
20996,8282,Ayumu Toujou
20996,9535,Henpeita Takechi
20996,12161,Mutsu
20996,12946,Kamui
20996,15580,Binbokusai Yagyuu
20996,15581,Koshinori Yagyuu
20996,17063,Heiji Kozenigata
20996,18016,Tetsuko Murata
20996,18823,Tsukuyo
20996,26731,Abuto
20996,32209,Harada Unosuke
20996,32214,Soyo Tokugawa
20996,32238,Hinowa
20996,32239,Seita
20996,32728,Kaoru Waki
20996,32739,Katsuo Kurogoma
20996,32839,Haji
20996,32963,Shachi
20996,41779,Zenzou no Chichi
20996,55577,Nobume Imai
20996,55579,Isaburo Sasaki
20996,56029,Tetsunosuke Sasaki
